,intent,snip
344,How to force os.system() to use bash instead of shell,"os.system('/bin/bash -c ""echo hello world""')"
345,how to access the class variable by string in Python?,"getattr(test, a_string)"
346,How to display a jpg file in Python?,Image.open('pathToFile').show()
347,Replace the single quote (') character from a string,"""""""didn't"""""".replace(""'"", '')"
348,Sorting files in a list,files.sort(key=file_number)
349,remove all whitespace in a string,"sentence.replace(' ', '')"
350,remove all whitespace in a string,"pattern = re.compile('\\s+')\nsentence = re.sub(pattern, '', sentence)"
351,remove all whitespace in a string,sentence.strip()
352,remove all whitespace in a string,"sentence = re.sub('\\s+', '', sentence, flags=re.UNICODE)"
353,remove all whitespace in a string,sentence = ''.join(sentence.split())
354,Sum all values of a counter in Python,sum(my_counter.values())
355,Numpy: find the euclidean distance between two 3-D arrays,np.sqrt(((A - B) ** 2).sum(-1))
356,Python: define multiple variables of same type?,"levels = [{}, {}, {}]"
357,Find the sum of subsets of a list in python,"weekly = [sum(visitors[x:x + 7]) for x in range(0, len(daily), 7)]"
358,Delete an element from a dictionary,del d[key]
359,Delete an element from a dictionary,{i: a[i] for i in a if (i != 0)}
360,Delete an element from a dictionary,lol.pop('hello')
361,Delete an element from a dictionary,del r[key]
362,Efficient computation of the least-squares algorithm in NumPy,"np.linalg.solve(np.dot(a.T, a), np.dot(a.T, b))"
363,Splitting dictionary/list inside a Pandas Column into Separate Columns,"pd.concat([df.drop('b', axis=1), pd.DataFrame(df['b'].tolist())], axis=1)"
364,loop through a Python list by twos,"for i in range(0, 10, 2):\n    pass"
365,loop through a Python list by twos,for i in mylist[::2]:\n    pass
366,How to use map to lowercase strings in a dictionary?,[{'content': x['content'].lower()} for x in messages]
367,convert list into string with spaces in python,""""""" """""".join(my_list)"
368,Regex. Match words that contain special characters or 'http://',"re.sub('(http://\\S+|\\S*[^\\w\\s]\\S*)', '', a)"
369,How to check for palindrome using Python logic,str(n) == str(n)[::-1]
370,How to upload binary file with ftplib in Python?,"ftp.storbinary('STOR myfile.txt', open('myfile.txt', 'rb'))"
371,How to remove all characters before a specific character in Python?,"re.sub('.*I', 'I', stri)"
372,Python parse comma-separated number into int,"int('1,000,000'.replace(',', ''))"
373,Combine two Pandas dataframes with the same index,"pd.merge(df1, df2, left_index=True, right_index=True, how='outer')"
374,Combine two Pandas dataframes with the same index,"pandas.concat([df1, df2], axis=1)"
375,What's the best way to aggregate the boolean values of a Python dictionary?,all(dict.values())
376,How to extract first two characters from string using regex,"df.c_contofficeID.str.replace('^12(?=.{4}$)', '')"
377,reverse a list,L[::(-1)]
378,reverse a list,reversed(array)
379,reverse a list,L.reverse()
380,reverse a list,list(reversed(array))
381,How to index nested lists in Python?,[tup[0] for tup in A]
382,Replacing characters in a file,"newcontents = contents.replace('a', 'e').replace('s', '3')"
383,How to serialize SqlAlchemy result to JSON?,json.dumps([dict(list(row.items())) for row in rs])
384,Cross-platform addressing of the config file,config_file = os.path.expanduser('~/foo.ini')
385,How to get multiple parameters with same name from a URL in Pylons?,request.params.getall('c')
386,how to create similarity matrix in numpy python?,np.corrcoef(x)
387,Python - Find the greatest number in a set of numbers,"print(max(1, 2, 3))"
388,Google App Engine - Request class query_string,self.request.get('var_name')
389,python pandas: apply a function with arguments to a series. Update,"a['x'].apply(lambda x, y: x + y, args=(100,))"
390,Get models ordered by an attribute that belongs to its OneToOne model,User.objects.order_by('-pet__age')[:10]
391,make a time delay,time.sleep(5)
392,make a time delay,time.sleep(60)
393,make a time delay,sleep(0.1)
394,make a time delay,time.sleep(60)
395,make a time delay,time.sleep(0.1)
396,Remove strings from a list that contains numbers in python,[x for x in my_list if not any(c.isdigit() for c in x)]
397,how to do a left,df['state'].apply(lambda x: x[len(x) / 2 - 1:len(x) / 2 + 1])
398,How do I draw a grid onto a plot in Python?,plt.grid(True)
399,python How do you sort list by occurrence with out removing elements from the list?,"sorted(lst, key=lambda x: (-1 * c[x], lst.index(x)))"
400,Find max length of each column in a list of lists,[max(len(str(x)) for x in line) for line in zip(*foo)]
401,Count the number of Occurrence of Values based on another column,df.Country.value_counts().reset_index(name='Sum of Accidents')
402,Calculating difference between two rows in Python / Pandas,data.set_index('Date').diff()
403,python: append values to a set,"a.update([3, 4])"
404,How can I get an array of alternating values in python?,a[1::2] = -1
405,Faster way to rank rows in subgroups in pandas dataframe,df.groupby('group')['value'].rank(ascending=False)
406,Js Date object to python datetime,"datetime.strptime('Tue, 22 Nov 2011 06:00:00 GMT', '%a, %d %b %Y %H:%M:%S %Z')"
407,Python: Converting from binary to String,"struct.pack('<I', 1633837924)"
408,Inserting a string into a list without getting split into characters,list.append('foo')
409,Inserting a string into a list without getting split into characters,"list.insert(0, 'foo')"
410,Case insensitive dictionary search with Python,theset = set(k.lower() for k in thedict)
411,How to pad with n characters in Python,"""""""{s:{c}^{n}}"""""".format(s='dog', n=5, c='x')"
412,How to check if type of a variable is string?,"isinstance(s, str)"
413,How to check if type of a variable is string?,"isinstance(s, str)"
414,How do I merge a list of dicts into a single dict?,dict(pair for d in L for pair in list(d.items()))
415,How do I merge a list of dicts into a single dict?,"{k: v for d in L for k, v in list(d.items())}"
416,How to sort a Pandas DataFrame according to multiple criteria?,"df.sort_values(['Peak', 'Weeks'], ascending=[True, False], inplace=True)"
417,How to sort a Pandas DataFrame according to multiple criteria?,"df.sort(['Peak', 'Weeks'], ascending=[True, False], inplace=True)"
418,Running Python code contained in a string,"eval(""print('Hello')"")"
419,Creating a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]"
420,Creating a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]"
421,how to get all possible combination of items from 2-dimensional list in python?,list(itertools.product(*a))
422,Pandas sum by groupby,"df.groupby(['Country', 'Item_Code'])[['Y1961', 'Y1962', 'Y1963']].sum()"
423,Python turning a list into a list of tuples,"done = [(el, x) for el in [a, b, c, d]]"
424,Removing nan values from an array,x = x[numpy.logical_not(numpy.isnan(x))]
425,Removing the first folder in a path,os.path.join(*x.split(os.path.sep)[2:])
426,Replacing instances of a character in a string,"line = line.replace(';', ':')"
427,Python - How to call bash commands with pipe?,"subprocess.call('tar c my_dir | md5sum', shell=True)"
428,hex string to character in python,"""""""437c2123"""""".decode('hex')"
429,Get required fields from Document in mongoengine?,"[k for k, v in User._fields.items() if v.required]"
430,Pandas remove column by index,"df = df.ix[:, 0:2]"
431,Change a string of integers separated by spaces to a list of int,"x = map(int, x.split())"
432,Change a string of integers separated by spaces to a list of int,x = [int(i) for i in x.split()]
433,Find and click an item from 'onclick' partial value,"driver.find_element_by_css_selector(""input[onclick*='1 Bedroom Deluxe']"")"
434,Python / Remove special character from string,"re.sub('[^a-zA-Z0-9-_*.]', '', my_string)"
435,How to display a pdf that has been downloaded in python,webbrowser.open('file:///my_pdf.pdf')
436,Removing backslashes from a string in Python,"result = result.replace('\\', '')"
437,Removing backslashes from a string in Python,"result.replace('\\', '')"
438,Replace value in any column in pandas dataframe,"df.replace('-', 'NaN')"
439,How do I convert datetime to date (in Python)?,datetime.datetime.now().date()
440,How do I convert datetime to date (in Python)?,datetime.datetime.now().date()
441,How to get all sub-elements of an element tree with Python ElementTree?,[elem.tag for elem in a.iter()]
442,How to get all sub-elements of an element tree with Python ElementTree?,[elem.tag for elem in a.iter() if elem is not a]
443,How can I split and parse a string in Python?,"""""""2.7.0_bf4fda703454"""""".split('_')"
444,Python - Move elements in a list of dictionaries to the end of the list,"sorted(lst, key=lambda x: x['language'] != 'en')"
445,How to check if all values of a dictionary are 0,all(value == 0 for value in list(your_dict.values()))
446,Python Pandas Pivot Table,"df.pivot_table('Y', rows='X', cols='X2')"
447,do a try-except without handling the exception,try:\n    doSomething()\nexcept:\n    pass
448,do a try-except without handling the exception,try:\n    doSomething()\nexcept Exception:\n    pass
449,Python - Sum 4D Array,M.sum(axis=0).sum(axis=0)
450,Python datetime to microtime,time.mktime(dt.timetuple()) + dt.microsecond / 1000000.0
451,How to check if any value of a column is in a range in Pandas?,df[(x <= df['columnX']) & (df['columnX'] <= y)]
452,sort a list of lists by a specific index of the inner list,"sorted(L, key=itemgetter(2))"
453,sort a list of lists by a specific index of the inner list,l.sort(key=(lambda x: x[2]))
454,sort a list of lists by a specific index,"sorted(l, key=(lambda x: x[2]))"
455,sort a list of lists by a specific index,"sorted_list = sorted(list_to_sort, key=itemgetter(2, 0, 1))"
456,How to find row of 2d array in 3d numpy array,"np.argwhere(np.all(arr == [[0, 3], [3, 0]], axis=(1, 2)))"
457,How to select only specific columns from a DataFrame with MultiIndex columns?,"data.loc[:, (list(itertools.product(['one', 'two'], ['a', 'c'])))]"
458,How to select only specific columns from a DataFrame with MultiIndex columns?,"data.loc[:, ([('one', 'a'), ('one', 'c'), ('two', 'a'), ('two', 'c')])]"
459,How to account for accent characters for regex in Python?,"hashtags = re.findall('#(\\w+)', str1, re.UNICODE)"
460,Rename Files,"os.rename(src, dst)"
461,How to get text for a root element using lxml?,print(etree.tostring(some_tag.find('strong')))
462,Saving dictionary whose keys are tuples with json,"json.dumps({str(k): v for k, v in data.items()})"
463,How to correctly parse UTF-8 encoded HTML to Unicode strings with BeautifulSoup?,soup = BeautifulSoup(response.read().decode('utf-8'))
464,How to delete a file without an extension?,os.remove(filename)
465,Get the immediate minimum among a list of numbers in python,min([x for x in num_list if x > 2])
466,pandas: replace string with another string,df['prod_type'] = 'responsive'
467,How do I sort a list with positives coming before negatives with values sorted respectively?,"sorted(lst, key=lambda x: (x < 0, x))"
468,How do I calculate the date six months from the current date,six_months = (date.today() + relativedelta(months=(+ 6)))
469,How do I calculate the date six months from the current date,"(date(2010, 12, 31) + relativedelta(months=(+ 1)))"
470,How do I calculate the date six months from the current date,"(date(2010, 12, 31) + relativedelta(months=(+ 2)))"
471,calculate the date six months from the current date,print((datetime.date.today() + datetime.timedelta(((6 * 365) / 12))).isoformat())
472,Finding The Biggest Key In A Python Dictionary,"sorted(list(things.keys()), key=lambda x: things[x]['weight'], reverse=True)"
473,how to get all the values from a numpy array excluding a certain index?,a[np.arange(len(a)) != 3]
474,what is a quick way to delete all elements from a list that do not satisfy a constraint?,[x for x in lst if fn(x) != 0]
475,Python Pandas - Date Column to Column index,df.set_index('month')
476,How to read lines from a file into a multidimensional array (or an array of lists) in python,"arr = [line.split(',') for line in open('./urls-eu.csv')]"
477,python list comprehension with multiple 'if's,[i for i in range(100) if i > 10 if i < 20]
478,Removing letters from a list of both numbers and letters,""""""""""""".join([c for c in strs if c.isdigit()])"
